index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.000,0.000,0
2,0.209,0.209,0
3,0.000,0.000,1
4,0.061,0.061,1
5,0.000,0.000,0
6,0.000,0.000,0
7,0.000,0.000,0
8,0.000,0.000,0
9,0.000,0.000,0
10,0.000,0.000,0
11,0.000,0.000,0
12,0.000,0.000,0
13,0.000,0.000,1
14,12.172,12.172,1
15,0.000,0.000,0
16,0.077,0.077,0
17,0.000,0.000,0
18,0.039,0.039,0
19,0.000,0.000,0
20,0.400,0.400,0
21,0.000,0.000,0
22,0.072,0.072,0
23,0.000,0.000,0
24,0.071,0.071,0
25,0.000,0.000,0
26,0.070,0.070,0
27,0.000,0.000,1
28,1.612,1.612,1
29,0.000,0.000,1
30,0.845,0.845,1
31,0.000,0.000,0
32,0.071,0.071,0
33,0.000,0.000,0
34,0.115,0.115,0
35,0.000,0.000,0
36,0.033,0.033,0
37,0.000,0.000,0
38,0.041,0.041,0
39,0.000,0.000,0
40,0.247,0.247,0
41,0.000,0.000,1
42,12.490,12.490,1
43,0.000,0.000,0
44,0.085,0.085,0
45,0.000,0.000,1
46,0.065,0.065,1
47,0.000,0.000,0
48,0.271,0.271,0
49,0.000,0.000,0
50,0.203,0.203,1
51,0.000,0.000,1
52,0.134,0.134,1
53,0.000,0.000,0
54,0.135,0.135,0
55,0.000,0.000,0
56,0.152,0.152,0
57,0.000,0.000,0
58,0.069,0.069,0
59,0.000,0.000,0
60,0.046,0.046,0
61,0.000,0.000,0
62,0.507,0.507,0
63,0.000,0.000,1
64,0.360,0.360,1
65,0.000,0.000,1
66,0.200,0.200,1
67,0.000,0.000,0
68,0.341,0.341,0
69,0.000,0.000,1
70,0.145,0.145,1
71,0.000,0.000,1
72,0.434,0.434,1
73,0.000,0.000,0
74,0.155,0.155,0
75,0.000,0.000,1
76,0.075,0.075,1
77,0.000,0.000,1
78,0.139,0.139,1
79,0.000,0.000,0
80,0.222,0.222,0
81,0.000,0.000,0
82,0.253,0.253,0
83,0.000,0.000,1
84,0.260,0.260,1
85,0.000,0.000,0
86,0.000,0.000,0
87,0.000,0.000,0
88,0.461,0.461,0
89,0.000,0.000,0
90,0.000,0.000,0
91,0.000,0.000,0
92,6.690,6.690,1
93,0.000,0.000,1
94,0.853,0.853,1
95,0.000,0.000,1
96,6.018,6.018,0
97,0.000,0.000,0
98,0.221,0.221,0
99,0.000,0.000,1
100,0.130,0.130,1
101,0.000,0.000,0
102,0.267,0.267,0
103,0.000,0.000,0
104,0.249,0.249,0
105,0.000,0.000,1
106,0.216,0.216,1
107,0.000,0.000,1
108,0.258,0.258,1
109,0.000,0.000,1
110,0.157,0.157,1
111,0.000,0.000,0
112,0.077,0.077,0
113,0.000,0.000,1
114,0.000,0.000,1
115,0.000,0.000,1
116,0.268,0.268,1
117,0.000,0.000,1
118,0.468,0.468,1
119,0.000,0.000,1
120,0.915,0.915,1
121,0.000,0.000,1
122,0.670,0.670,1
123,0.000,0.000,1
