unix_timestamp,cadence
1747923611,3165.07
1747923655,6.91
1747923657,36.33
1747923658,49.99
1747923659,53.89
1747923660,49.27
1747923661,56.52
1747923662,60.24
1747923663,57.96
1747923664,59.31
1747923665,68.72
1747923666,73.14
1747923667,78.27
1747923668,76.13
1747923669,78.67
1747923670,74.84
1747923670,73.41
1747923671,73.85
1747923672,75.02
1747923673,75.48
1747923673,80.42
1747923674,76.32
1747923675,82.58
1747923676,76.13
1747923677,69.50
1747923678,69.90
1747923679,68.80
1747923679,67.96
1747923680,70.62
1747923681,76.23
1747923682,68.72
1747923683,67.89
1747923684,65.22
1747923684,68.80
1747923685,67.22
1747923686,69.19
1747923687,74.38
1747923688,77.77
1747923689,71.44
1747923690,76.04
1747923690,76.80
1747923691,73.85
1747923692,76.70
1747923693,77.19
1747923693,68.80
1747923694,71.53
1747923695,71.53
1747923696,74.74
1747923697,68.88
1747923698,78.37
1747923698,77.67
1747923699,85.93
1747923700,80.21
1747923701,79.79
1747923701,81.92
1747923702,77.67
1747923703,84.86
1747923704,81.06
1747923705,75.76
1747923706,69.27
1747923707,62.82
1747923708,64.61
1747923709,72.88
1747923709,67.15
1747923710,62.06
1747923711,62.44
1747923712,68.88
1747923713,72.97
1747923714,77.77
1747923715,78.17
1747923715,87.15
1747923716,87.77
1747923717,90.22
1747923717,91.84
1747923718,100.23
1747923719,96.15
1747923719,101.89
1747923720,107.60
1747923720,107.79
1747923721,110.50
1747923721,108.36
1747923722,112.32
1747923722,110.50
1747923723,117.93
1747923724,111.91
1747923724,110.31
1747923725,117.25
1747923725,118.84
1747923725,115.27
1747923726,116.36
1747923726,117.70
1747923727,116.36
1747923727,120.00
1747923728,118.15
1747923728,118.15
1747923729,118.15
1747923730,119.65
1747923730,119.53
1747923731,118.38
1747923731,120.71
1747923732,120.94
1747923732,115.27
1747923733,120.00
1747923733,116.81
1747923734,118.84
1747923734,122.63
1747923735,120.71
1747923735,119.07
1747923736,120.00
1747923736,125.13
1747923737,119.53
1747923737,122.88
1747923738,124.62
1747923738,121.42
1747923739,126.94
1747923739,126.42
1747923740,127.20
1747923740,128.54
1747923741,131.28
1747923741,133.86
1747923742,134.44
1747923742,136.23
1747923743,136.23
1747923743,133.57
1747923743,140.92
1747923744,133.28
1747923745,138.69
1747923745,132.70
1747923745,133.57
1747923746,130.72
1747923746,127.73
1747923747,129.89
1747923747,128.00
1747923748,129.62
1747923748,128.27
1747923749,135.63
1747923749,134.15
1747923750,139.64
1747923750,138.07
1747923751,139.95
1747923751,143.55
1747923752,148.23
1747923752,152.84
1747923753,151.33
1747923754,158.35
1747923754,160.00
1747923754,158.76
1747923755,161.68
1747923755,160.00
1747923756,159.17
1747923756,157.54
1747923756,151.33
1747923757,150.96
1747923757,148.05
1747923758,145.59
1747923758,138.69
1747923758,141.24
1747923759,137.45
1747923759,137.76
1747923760,130.72
1747923760,127.20
1747923761,123.87
1747923761,119.30
1747923762,116.36
1747923762,113.15
1747923763,111.91
1747923763,106.48
1747923764,105.03
1747923765,97.99
1747923766,93.80
1747923766,84.40
1747923768,71.94
1747923769,68.80
1747923770,65.29
1747923771,62.63
1747923771,64.67
1747923772,65.22
1747923773,68.12
1747923774,67.67
1747923775,71.61
1747923776,71.86
1747923777,77.67
1747923777,78.87
1747923778,82.58
1747923779,87.15
1747923779,86.90
1747923780,84.28
1747923781,82.25
1747923781,82.91
1747923783,82.14
1747923784,83.14
1747923784,82.36
1747923785,87.77
1747923786,89.04
1747923786,97.52
1747923787,104.67
1747923787,112.32
1747923788,118.38
1747923788,124.37
1747923789,134.59
1747923790,139.64
1747923790,143.22
1747923790,146.29
1747923791,148.05
1747923791,150.59
1747923792,151.33
1747923792,151.33
1747923793,153.22
1747923793,152.84
1747923793,155.15
1747923794,152.46
1747923794,152.46
1747923794,152.08
1747923795,152.08
1747923795,148.77
1747923796,144.23
1747923796,143.22
1747923797,139.16
1747923797,135.93
1747923798,136.53
1747923798,130.72
1747923799,130.72
1747923799,128.81
1747923800,127.73
1747923800,125.64
1747923801,124.12
1747923801,124.88
1747923802,123.37
1747923802,122.88
1747923803,124.12
1747923803,122.88
1747923804,123.37
1747923804,124.88
1747923805,124.12
1747923805,130.45
1747923806,137.91
1747923806,143.89
1747923807,147.69
1747923807,153.98
1747923808,160.42
1747923808,163.84
1747923808,166.96
1747923809,167.87
1747923810,169.26
1747923810,172.10
1747923810,170.67
1747923811,174.05
1747923811,173.07
1747923811,174.55
1747923812,177.57
1747923812,177.06
1747923812,180.18
1747923813,182.31
1747923813,180.71
1747923814,183.40
1747923814,186.75
1747923814,190.22
1747923815,189.63
1747923815,190.81
1747923816,191.40
1747923816,193.82
1747923816,195.05
1747923817,192.60
1747923817,192.60
1747923818,195.98
1747923818,194.74
1747923819,192.00
1747923819,190.22
1747923819,186.75
1747923820,183.95
1747923820,179.65
1747923821,177.57
1747923821,175.04
1747923821,173.56
1747923822,172.10
1747923823,170.90
1747923823,168.33
1747923823,166.28
1747923824,162.11
1747923824,162.11
1747923825,162.11
1747923825,163.84
1747923826,164.28
1747923826,162.11
1747923826,162.11
1747923827,161.26
1747923827,159.58
1747923828,158.55
1747923829,155.15
1747923829,155.15
1747923829,154.76
1747923830,155.94
1747923830,158.35
1747923831,162.54
1747923832,163.84
1747923832,163.62
1747923833,164.94
1747923833,166.96
1747923834,169.26
1747923834,171.86
1747923834,174.05
1747923835,174.05
1747923835,175.54
1747923836,177.06
1747923836,178.60
1747923837,178.09
1747923837,180.44
1747923838,180.18
1747923838,178.09
1747923839,177.57
1747923839,175.04
1747923840,173.56
1747923840,174.05
1747923840,174.05
1747923841,172.34
1747923841,173.07
1747923843,171.98
1747923843,168.79
1747923844,166.50
1747923845,165.16
1747923845,161.47
1747923846,160.42
1747923847,157.54
1747923847,154.37
1747923847,152.84
1747923848,150.96
1747923848,145.94
1747923848,148.77
1747923849,147.69
1747923849,150.22
1747923850,148.77
1747923850,143.55
1747923850,144.56
1747923851,142.22
1747923851,141.24
1747923852,141.24
1747923852,140.92
1747923853,140.27
1747923853,141.57
1747923854,139.64
1747923854,139.32
1747923855,137.45
1747923855,136.53
1747923855,139.64
1747923856,138.07
1747923856,136.53
1747923857,135.33
1747923857,139.95
1747923858,146.29
1747923858,152.08
1747923859,153.98
1747923859,156.73
1747923860,156.34
1747923861,151.33
1747923861,150.22
1747923861,151.33
1747923862,149.49
1747923862,151.33
1747923862,153.22
1747923863,153.22
1747923863,154.37
1747923864,154.76
1747923864,153.22
1747923864,155.54
1747923865,154.76
1747923865,153.22
1747923865,152.08
1747923866,153.60
1747923867,151.89
1747923867,151.33
1747923867,151.70
1747923868,150.96
1747923868,150.96
1747923869,152.84
1747923869,150.96
1747923870,150.59
1747923871,149.01
1747923871,148.41
1747923872,147.34
1747923872,146.99
1747923872,144.56
1747923873,144.06
1747923874,139.95
1747923874,138.07
1747923875,133.57
1747923875,129.35
1747923875,126.42
1747923876,125.39
1747923876,122.15
1747923877,121.42
1747923877,124.62
1747923878,125.39
1747923878,124.37
1747923879,127.47
1747923879,123.13
1747923880,128.27
1747923880,132.99
1747923881,125.39
1747923881,135.63
1747923882,129.89
1747923882,129.08
1747923883,128.00
1747923883,128.81
1747923884,131.00
1747923884,131.85
1747923885,130.45
1747923885,130.45
1747923885,131.85
1747923886,131.85
1747923887,131.56
1747923887,132.99
1747923887,135.33
1747923888,135.03
1747923888,135.33
1747923889,136.53
1747923889,133.86
1747923889,135.33
1747923890,139.64
1747923890,140.27
1747923891,135.63
1747923891,132.41
1747923891,130.45
1747923892,129.89
1747923892,128.27
1747923893,125.13
1747923894,124.88
1747923894,123.13
