unix_timestamp,cadence
1747750465,996.78
1747750505,22.82
1747750507,32.18
1747750508,32.91
1747750510,42.43
1747750511,48.80
1747750512,51.46
1747750513,51.85
1747750515,51.67
1747750516,53.89
1747750517,55.00
1747750518,57.21
1747750519,49.83
1747750520,50.99
1747750521,48.08
1747750522,48.00
1747750524,54.32
1747750525,59.31
1747750526,62.76
1747750527,70.78
1747750527,69.82
1747750528,66.64
1747750529,63.93
1747750530,62.19
1747750531,64.47
1747750532,66.06
1747750533,66.86
1747750534,68.96
1747750535,66.35
1747750535,69.66
1747750536,71.36
1747750537,72.88
1747750538,75.48
1747750539,79.69
1747750539,76.80
1747750540,71.53
1747750541,72.28
1747750542,71.36
1747750543,69.82
1747750544,67.44
1747750545,70.22
1747750546,66.86
1747750547,64.67
1747750547,65.22
1747750548,67.15
1747750549,69.11
1747750550,71.03
1747750551,75.39
1747750551,72.03
1747750552,71.86
1747750553,74.74
1747750554,73.58
1747750555,73.32
1747750555,71.94
1747750556,72.97
1747750557,75.95
1747750558,75.85
1747750559,73.85
1747750560,74.02
1747750561,74.02
1747750561,74.56
1747750563,73.94
1747750563,75.02
1747750564,73.49
1747750566,75.76
1747750566,74.47
1747750567,74.93
1747750568,67.44
1747750569,64.40
1747750570,64.61
1747750571,66.06
1747750572,67.96
1747750572,73.76
1747750573,73.85
1747750574,68.96
1747750575,61.38
1747750576,54.81
1747750577,50.28
1747750578,50.82
1747750579,54.76
1747750581,60.00
1747750581,59.71
1747750582,58.46
1747750583,58.07
1747750585,63.27
1747750585,69.42
1747750587,69.42
1747750587,70.54
1747750588,73.76
1747750589,75.95
1747750589,79.48
1747750591,82.36
1747750591,80.52
1747750592,76.04
1747750592,77.09
1747750593,75.57
1747750594,75.11
1747750595,76.04
1747750596,74.84
1747750596,74.93
1747750597,71.36
1747750598,74.47
1747750599,73.85
1747750600,76.99
1747750600,80.42
1747750602,79.59
1747750603,80.84
1747750603,84.16
1747750604,85.21
1747750605,83.36
1747750606,85.45
1747750606,83.59
1747750607,85.81
1747750608,81.38
1747750608,78.47
1747750609,79.18
1747750610,78.37
1747750611,77.58
1747750612,78.67
1747750612,80.21
1747750613,80.42
1747750614,81.59
1747750615,81.27
1747750616,78.37
1747750617,77.87
1747750617,80.31
1747750618,82.69
1747750619,85.21
1747750620,88.40
1747750620,87.65
1747750621,80.31
1747750622,76.61
1747750623,78.17
1747750623,78.87
1747750624,79.69
1747750625,81.49
1747750626,79.28
1747750627,75.39
1747750627,76.70
1747750628,85.45
1747750629,83.48
1747750630,83.82
1747750631,86.05
1747750631,89.17
1747750632,89.17
1747750632,95.70
1747750633,97.22
1747750634,92.53
1747750634,91.29
1747750635,92.11
1747750636,91.56
1747750637,88.40
1747750637,87.52
1747750638,88.02
1747750639,85.10
1747750639,83.36
1747750640,82.80
1747750641,82.91
1747750642,83.25
1747750642,85.93
1747750643,87.65
1747750644,86.78
1747750644,83.03
1747750645,86.29
1747750646,85.33
1747750647,80.05
1747750648,81.06
1747750649,84.63
1747750650,82.03
1747750650,83.82
1747750651,81.59
1747750652,84.40
1747750653,83.59
1747750653,83.59
1747750654,84.74
1747750655,86.05
1747750655,85.81
1747750656,89.17
1747750657,88.53
1747750657,86.66
1747750658,85.10
1747750659,86.05
1747750659,88.53
1747750660,91.16
1747750660,94.81
1747750661,100.56
1747750662,97.06
1747750662,88.40
1747750663,85.81
1747750664,85.10
1747750665,79.48
1747750665,79.38
1747750666,75.48
1747750667,72.37
1747750668,65.99
1747750669,68.34
1747750670,70.14
1747750670,72.88
1747750671,72.20
1747750673,72.45
1747750673,75.02
1747750674,78.37
1747750674,78.77
1747750675,83.59
1747750676,84.40
1747750677,81.38
1747750677,80.74
1747750678,83.48
1747750679,80.42
1747750680,80.21
1747750681,78.87
1747750681,80.63
1747750682,77.67
1747750683,75.20
1747750683,77.19
1747750684,75.76
1747750685,79.59
1747750686,81.16
1747750686,82.58
1747750687,81.16
1747750688,81.49
1747750689,83.14
1747750689,80.84
1747750690,81.59
1747750691,81.27
1747750692,86.05
1747750693,83.48
1747750694,82.91
1747750694,81.70
1747750695,80.63
1747750696,80.63
1747750697,80.84
1747750698,80.95
1747750698,80.95
1747750699,80.52
1747750700,79.90
1747750701,77.48
1747750701,72.11
1747750702,71.11
1747750703,73.41
1747750704,72.37
1747750705,73.94
1747750706,76.04
1747750706,75.39
1747750707,72.11
1747750709,37.95
1747750710,33.65
1747750712,43.79
1747750713,55.91
1747750714,59.71
1747750715,60.35
1747750716,64.13
1747750717,60.29
1747750718,63.80
1747750718,68.42
1747750719,72.37
1747750720,70.87
1747750721,70.30
1747750722,71.78
1747750723,75.11
1747750723,75.67
1747750724,78.97
1747750725,79.38
1747750726,73.85
1747750727,72.03
1747750728,71.61
1747750728,70.70
1747750729,68.27
1747750730,69.19
1747750731,66.57
1747750732,65.08
1747750733,62.19
1747750734,63.14
1747750735,63.08
1747750736,66.49
1747750737,69.50
1747750738,67.59
1747750738,65.64
1747750740,68.34
1747750740,70.38
1747750741,66.93
1747750743,67.89
1747750744,70.06
1747750744,71.36
1747750745,68.27
1747750746,69.50
1747750747,69.58
1747750748,70.38
1747750749,68.65
1747750750,67.07
1747750751,63.93
1747750752,58.24
