unix_timestamp,cadence
1742399336,329977.23
1742399479,32.98
1742399480,35.56
1742399482,38.57
1742399483,38.57
1742399485,40.50
1742399486,41.97
1742399487,44.14
1742399488,47.70
1742399489,50.11
1742399490,52.11
1742399491,52.11
1742399493,52.78
1742399494,50.99
1742399495,49.91
1742399496,49.07
1742399497,49.07
1742399498,49.91
1742399500,49.47
1742399501,50.99
1742399502,51.63
1742399503,52.11
1742399505,50.53
1742399505,51.20
1742399507,52.33
1742399508,51.46
1742399509,49.71
1742399510,49.07
1742399512,50.53
1742399513,50.53
1742399514,50.78
1742399515,51.63
1742399516,52.78
1742399517,52.78
1742399519,50.78
1742399520,50.32
1742399522,50.11
1742399522,49.71
1742399524,48.88
1742399525,50.11
1742399526,50.53
1742399527,50.32
1742399529,50.11
1742399529,50.11
1742399531,50.78
1742399532,51.20
1742399533,52.33
1742399534,53.24
1742399536,55.50
1742399537,55.50
1742399539,55.50
1742399539,56.01
1742399540,56.57
1742399541,57.64
1742399542,58.51
1742399543,59.71
1742399544,59.71
1742399545,60.00
1742399546,58.79
1742399547,58.51
1742399548,58.51
1742399549,58.51
1742399550,59.08
1742399551,59.36
1742399552,59.71
1742399553,59.71
1742399554,60.29
1742399556,60.00
1742399556,60.00
1742399557,58.79
1742399558,58.79
1742399559,59.08
1742399560,58.79
1742399561,59.08
1742399563,58.51
1742399564,57.10
1742399565,54.47
1742399566,53.52
1742399567,53.01
1742399569,53.01
1742399569,53.99
1742399570,55.75
1742399571,56.32
1742399573,56.84
1742399573,57.10
1742399574,57.69
1742399575,58.51
1742399576,57.96
1742399577,58.51
1742399578,59.08
1742399579,59.36
1742399580,60.00
1742399581,60.59
1742399582,61.56
1742399583,61.56
1742399584,62.82
1742399585,62.82
1742399586,63.54
1742399587,62.50
1742399588,62.50
1742399589,63.21
1742399590,61.56
1742399591,63.21
1742399592,63.54
1742399592,64.88
1742399593,67.89
1742399594,72.03
1742399595,74.74
1742399596,78.17
1742399596,78.67
1742399597,78.67
1742399599,78.67
1742399599,77.67
1742399600,77.67
1742399601,78.67
1742399602,80.31
1742399602,80.84
1742399603,82.47
1742399604,84.28
1742399604,84.28
1742399605,83.03
1742399606,83.03
1742399607,81.92
1742399607,79.69
1742399608,79.69
1742399609,78.17
1742399609,80.31
1742399610,79.18
1742399611,78.67
1742399612,77.67
1742399613,75.20
1742399614,73.76
1742399614,73.32
1742399615,72.45
1742399616,71.11
1742399617,70.30
1742399618,67.52
1742399619,66.35
1742399620,65.64
1742399621,65.64
1742399622,64.88
1742399623,66.35
1742399624,67.52
1742399624,67.89
1742399626,69.03
1742399626,67.89
1742399627,69.03
1742399628,68.27
1742399629,68.27
1742399630,69.03
1742399631,67.89
1742399631,68.65
1742399632,68.27
1742399633,68.27
1742399634,68.65
1742399635,67.89
1742399636,69.03
1742399637,68.65
1742399638,66.71
1742399639,66.71
1742399640,65.64
1742399641,65.02
1742399641,64.54
1742399642,64.54
1742399643,66.71
1742399644,67.89
1742399645,69.03
1742399646,69.03
1742399647,69.50
1742399648,69.50
1742399649,69.50
1742399649,68.65
1742399651,68.27
1742399651,68.65
1742399652,69.03
1742399653,69.03
1742399654,69.03
1742399654,70.30
1742399655,71.53
1742399656,73.32
1742399657,74.20
1742399659,73.98
1742399659,72.88
1742399660,71.11
1742399661,69.50
1742399662,68.65
1742399664,67.15
1742399665,67.15
1742399665,66.71
1742399666,65.99
1742399667,65.99
1742399668,65.99
1742399669,65.99
1742399670,65.64
1742399671,63.87
1742399672,62.19
1742399673,60.29
1742399675,60.29
1742399675,60.59
1742399676,61.87
1742399677,64.20
1742399678,65.99
1742399679,65.99
1742399680,65.29
1742399681,65.64
1742399682,65.29
1742399683,63.87
1742399684,64.54
1742399685,65.99
1742399685,67.52
1742399686,66.71
1742399687,68.27
1742399688,68.27
1742399689,68.08
1742399690,69.03
1742399691,69.90
1742399692,69.50
1742399693,70.30
1742399694,71.53
1742399694,71.11
1742399695,71.11
1742399696,72.03
1742399697,72.03
1742399698,72.88
1742399699,72.45
1742399700,72.88
1742399700,72.45
1742399701,72.45
1742399702,72.88
1742399703,72.88
1742399704,72.88
1742399705,72.03
1742399706,72.03
1742399706,72.97
1742399707,72.45
1742399708,71.53
1742399709,71.11
1742399710,72.45
1742399710,72.03
1742399712,71.11
1742399712,70.70
1742399713,70.30
1742399714,70.70
1742399715,70.30
1742399715,69.90
1742399716,69.50
1742399718,68.27
1742399718,66.71
1742399719,64.88
1742399720,63.21
1742399721,61.87
1742399722,62.50
1742399723,63.21
1742399724,64.20
1742399725,64.20
