unix_timestamp,cadence
1749477995,390413.44
1749478002,30.56
1749478008,30.56
1749478015,30.56
1749478019,80.36
1749478021,42.78
1749478036,23.22
1749478038,50.72
1749478039,73.03
1749478040,93.81
1749478042,94.42
1749478044,82.2
1749478045,58.06
1749478046,128.03
1749478047,81.58
1749478048,96.25
1749478050,100.84
1749478052,92.33
1749478053,94.14
1749478054,96.08
1749478055,98.6
1749478056,96.98
1749478057,93.28
1749478058,92.03
1749478059,100.82
1749478060,98.38
1749478061,96.19
1749478062,103.81
1749478063,98.95
1749478064,92.9
1749478066,91.77
1749478067,95.13
1749478068,99.98
1749478069,84.88
1749478070,98.39
1749478072,100.45
1749478073,105.45
1749478074,93.88
1749478076,107.73
1749478077,114.09
1749478078,118.43
1749478079,115.04
1749478080,116.13
1749478081,112.42
1749478083,113.15
1749478084,112.05
1749478086,113.65
1749478087,112.64
1749478089,110.34
1749478090,113.36
1749478091,115.96
1749478092,118.5
1749478093,115.12
1749478095,115.06
1749478097,109.24
1749478098,121.81
1749478099,120.7
1749478100,124.25
1749478101,114.48
1749478102,109.52
1749478103,107.72
1749478104,112.02
1749478105,108.31
1749478106,114.05
1749478107,110.76
1749478108,108.03
1749478109,106.03
1749478111,102.61
1749478112,101.6
1749478113,119.99
1749478114,136.12
1749478115,144.0
1749478117,152.95
1749478118,149.24
1749478119,129.27
1749478120,109.25
1749478121,106.28
1749478122,100.35
1749478123,92.27
1749478124,95.01
1749478125,118.37
1749478126,116.08
1749478127,125.46
1749478129,137.89
1749478131,136.47
1749478132,133.47
1749478134,129.67
1749478135,132.32
1749478136,124.77
1749478137,115.36
1749478138,113.81
1749478139,111.33
1749478140,104.51
1749478141,102.23
1749478142,93.75
1749478143,83.07
1749478144,80.37
1749478146,78.23
1749478147,80.38
1749478148,82.76
1749478149,78.45
1749478150,83.77
1749478151,85.29
1749478152,97.53
1749478153,101.23
1749478154,106.57
1749478155,113.61
1749478156,115.91
1749478157,118.05
1749478158,137.37
1749478159,125.68
1749478160,97.75
1749478161,78.21
1749478162,75.74
1749478163,87.22
1749478164,99.04
1749478165,109.43
1749478166,116.64
1749478167,128.02
1749478168,134.68
1749478169,146.38
1749478170,130.63
1749478171,153.51
1749478173,144.5
1749478174,131.95
1749478176,123.18
1749478177,119.51
1749478178,108.67
1749478179,119.61
1749478180,133.24
1749478181,115.34
1749478182,133.04
1749478183,154.88
1749478185,145.7
1749478186,141.6
1749478187,154.18
1749478188,165.21
1749478189,160.08
1749478190,148.25
1749478191,145.7
1749478192,152.23
1749478193,154.41
1749478194,163.03
1749478195,144.46
1749478196,161.14
1749478197,171.35
1749478198,170.11
1749478199,172.14
1749478200,192.34
1749478201,177.48
1749478202,171.63
1749478203,165.86
1749478204,163.38
1749478205,160.65
1749478207,164.74
1749478208,170.72
1749478209,173.21
1749478210,162.98
1749478211,171.69
1749478212,176.03
1749478214,178.26
1749478215,176.12
1749478217,165.62
1749478218,167.73
1749478220,166.43
1749478222,164.41
1749478223,167.24
1749478225,164.22
1749478227,160.22
1749478228,162.01
1749478229,159.72
1749478230,158.24
1749478231,155.03
1749478232,152.26
1749478234,159.71
1749478235,162.02
1749478236,169.63
1749478237,165.4
1749478238,166.82
1749478239,165.73
1749478241,173.84
1749478242,177.23
1749478244,181.23
1749478245,179.23
1749478246,177.18
1749478247,173.87
1749478248,156.87
1749478249,150.33
1749478250,158.87
1749478251,148.41
1749478252,130.67
1749478253,126.52
1749478254,107.49
1749478255,100.93
1749478256,110.7
1749478257,125.89
1749478258,131.68
1749478259,136.67
1749478260,142.19
1749478261,137.73
1749478262,127.31
1749478264,139.65
1749478265,141.55
1749478266,130.15
1749478267,127.49
1749478268,128.83
1749478269,140.2
1749478270,135.58
1749478271,128.63
1749478272,131.38
1749478273,121.9
1749478274,116.2
1749478275,109.97
1749478276,102.3
1749478277,95.49
1749478278,82.19
1749478279,84.06
1749478280,80.65
1749478281,85.4
1749478282,86.92
1749478283,88.7
1749478284,95.18
1749478286,98.01
1749478288,99.49
1749478289,112.56
1749478290,115.96
1749478292,119.98
1749478293,123.23
1749478294,130.3
1749478295,140.02
1749478296,152.65
1749478297,161.06
1749478298,167.76
1749478300,164.09
1749478302,156.61
1749478303,147.35
1749478304,136.77
1749478305,118.91
1749478306,121.34
1749478307,110.96
1749478308,106.28
1749478309,103.92
1749478310,84.23
1749478311,83.17
1749478312,72.22
1749478313,73.35
1749478314,62.7
1749478315,27.25
1749478316,34.04
1749478317,66.77
1749478318,75.43
1749478319,86.05
1749478320,84.47
1749478321,92.26
1749478322,88.61
1749478323,92.62
1749478324,98.92
1749478325,94.65
1749478326,97.97
1749478328,98.73
1749478329,93.64
1749478330,102.66
1749478331,106.18
1749478332,110.79
1749478333,135.82
1749478334,97.64
1749478335,101.43
1749478336,97.8
1749478337,115.8
1749478338,112.46
1749478339,109.87
1749478340,111.5
1749478341,109.33
1749478342,111.01
1749478343,124.13
1749478344,134.69
1749478345,125.69
1749478347,123.71
1749478348,104.51
1749478349,141.26
1749478350,126.38
1749478351,123.14
1749478352,132.03
1749478353,134.25
1749478354,141.39
1749478355,143.4
1749478356,152.98
1749478357,163.24
1749478358,159.73
1749478359,161.84
1749478360,163.28
1749478361,165.48
1749478363,169.22
1749478364,181.87
1749478365,169.36
1749478366,181.11
1749478367,153.8
1749478368,145.4
1749478369,140.1
1749478370,152.9
1749478371,123.53
1749478372,160.17
1749478373,162.12
1749478374,145.96
1749478375,113.47
1749478376,51.99
1749478377,22.06
1749478378,20.35
1749478379,23.63
