index,step_dist_m,speed_mps,removed
0,0.000,0.000,0
1,0.382,0.382,0
2,0.000,0.000,0
3,0.659,0.659,1
4,0.000,0.000,0
5,0.077,0.077,0
6,0.000,0.000,0
7,0.070,0.070,0
8,0.000,0.000,1
9,0.057,0.057,1
10,0.000,0.000,0
11,0.257,0.257,0
12,0.000,0.000,0
13,1.320,1.320,0
14,0.000,0.000,0
15,0.331,0.331,0
16,0.000,0.000,0
17,1.067,1.067,0
18,0.000,0.000,0
19,0.486,0.486,0
20,0.000,0.000,1
21,0.428,0.428,1
22,0.000,0.000,1
23,1.062,1.062,1
24,0.000,0.000,1
25,0.487,0.487,1
26,0.000,0.000,1
27,1.311,1.311,1
28,0.000,0.000,1
29,1.583,1.583,1
30,0.000,0.000,0
31,0.403,0.403,0
32,0.000,0.000,0
33,0.238,0.238,0
34,0.000,0.000,0
35,0.797,0.797,0
36,0.000,0.000,0
37,0.694,0.694,0
38,0.000,0.000,1
39,0.822,0.822,1
40,0.000,0.000,1
41,0.388,0.388,1
42,0.000,0.000,1
43,1.040,1.040,1
44,0.000,0.000,1
45,0.667,0.667,1
46,0.000,0.000,0
47,0.025,0.025,0
48,0.000,0.000,0
49,0.020,0.020,0
50,0.000,0.000,0
51,1.462,1.462,0
52,0.000,0.000,0
53,0.912,0.912,0
54,0.000,0.000,1
55,1.029,1.029,1
56,0.000,0.000,1
57,2.896,2.896,1
58,0.000,0.000,1
59,0.745,0.745,1
60,0.000,0.000,1
61,1.121,1.121,0
62,0.000,0.000,0
63,0.786,0.786,0
64,0.000,0.000,0
65,1.600,1.600,0
66,0.000,0.000,1
67,0.398,0.398,1
68,0.000,0.000,1
69,3.388,3.388,1
70,0.000,0.000,1
71,3.455,3.455,1
72,0.000,0.000,0
73,1.009,1.009,0
74,0.000,0.000,0
75,2.476,2.476,0
76,0.000,0.000,0
77,1.968,1.968,0
78,0.000,0.000,0
79,1.904,1.904,0
80,0.000,0.000,0
81,1.833,1.833,0
82,0.000,0.000,0
83,1.214,1.214,0
84,0.000,0.000,0
85,2.246,2.246,0
86,0.000,0.000,0
87,2.769,2.769,0
88,0.000,0.000,0
89,2.121,2.121,0
90,0.000,0.000,0
91,2.966,2.966,1
92,0.000,0.000,1
93,1.908,1.908,0
94,0.000,0.000,0
95,2.112,2.112,0
96,0.000,0.000,0
97,1.097,1.097,0
98,0.000,0.000,0
99,0.913,0.913,0
100,0.000,0.000,0
101,0.639,0.639,0
102,0.000,0.000,0
103,1.998,1.998,0
104,0.000,0.000,0
105,2.043,2.043,0
106,0.000,0.000,0
107,1.600,1.600,0
108,0.000,0.000,0
109,1.269,1.269,0
110,0.000,0.000,0
111,0.750,0.750,0
112,0.000,0.000,0
113,1.334,1.334,0
114,0.000,0.000,0
115,1.594,1.594,0
116,0.000,0.000,0
117,1.839,1.839,0
118,0.000,0.000,0
119,2.055,2.055,0
120,0.000,0.000,0
121,0.142,0.142,0
122,0.000,0.000,0
123,0.775,0.775,1
124,0.000,0.000,1
125,1.599,1.599,0
126,0.000,0.000,0
127,1.983,1.983,0
128,0.000,0.000,0
129,0.772,0.772,0
130,0.000,0.000,0
131,0.102,0.102,0
132,0.000,0.000,1
133,1.285,1.285,1
134,0.000,0.000,0
135,0.321,0.321,0
136,0.000,0.000,0
137,6.931,6.931,0
138,0.000,0.000,0
139,0.278,0.278,0
140,0.000,0.000,1
141,0.027,0.027,1
142,0.000,0.000,1
143,0.570,0.570,1
144,0.000,0.000,1
145,0.768,0.768,1
146,0.000,0.000,1
147,2.170,2.170,1
148,0.000,0.000,1
149,0.813,0.813,1
150,0.000,0.000,1
151,2.301,2.301,1
