unix_timestamp,cadence
1749825924,38621.97
1749825925,23.75
1749825926,47.12
1749825927,26.62
1749825928,41.82
1749825929,43.36
1749825930,40.13
1749825931,58.63
1749825932,47.33
1749825933,64.52
1749825934,57.14
1749825935,45.98
1749825936,53.43
1749825937,59.35
1749825938,57.23
1749825939,40.77
1749825940,51.42
1749825941,60.02
1749825942,64.57
1749825943,78.35
1749825944,89.06
1749825945,99.65
1749825946,104.07
1749825947,107.56
1749825948,115.9
1749825949,120.93
1749825950,112.96
1749825951,109.42
1749825952,115.42
1749825953,119.21
1749825954,116.04
1749825955,120.57
1749825956,131.01
1749825957,124.52
1749825958,139.32
1749825959,134.81
1749825960,129.0
1749825961,123.45
1749825962,132.15
1749825963,126.48
1749825964,123.16
1749825966,125.77
1749825967,128.13
1749825968,138.9
1749825969,99.78
1749825970,95.99
1749825971,85.36
1749825972,58.99
1749825973,67.61
1749825974,95.55
1749825975,99.91
1749825976,103.97
1749825977,112.97
1749825978,114.79
1749825979,121.46
1749825980,118.51
1749825981,113.44
1749825982,116.65
1749825983,121.45
1749825984,132.03
1749825985,126.17
1749825986,131.45
1749825987,124.79
1749825988,130.49
1749825989,132.4
1749825990,136.79
1749825991,143.49
1749825993,136.76
1749825995,124.42
1749825996,127.21
1749825997,122.69
1749825998,129.01
1749826000,124.67
1749826001,110.4
1749826003,100.91
1749826004,59.27
1749826005,60.6
1749826007,75.36
1749826008,95.79
1749826009,110.02
1749826010,117.24
1749826011,120.86
1749826012,132.57
1749826013,128.16
1749826014,136.21
1749826015,120.56
1749826016,83.68
1749826017,118.96
1749826018,125.68
1749826020,128.68
1749826021,132.59
1749826022,140.95
1749826023,144.21
1749826024,132.99
1749826026,134.66
1749826027,119.05
1749826028,133.26
1749826029,125.01
1749826030,120.74
1749826031,123.5
1749826032,115.19
1749826033,111.7
1749826034,107.43
1749826035,94.12
1749826036,80.5
1749826037,62.74
1749826038,55.88
1749826039,63.36
1749826040,76.45
1749826041,95.62
1749826042,108.68
1749826043,104.72
1749826044,110.33
1749826045,117.58
1749826046,122.71
1749826047,117.88
1749826048,124.77
1749826049,121.64
1749826050,147.43
1749826051,123.03
1749826052,121.22
1749826054,126.11
1749826055,127.53
1749826056,129.52
1749826057,139.73
1749826058,134.25
1749826059,127.37
1749826060,131.01
1749826061,129.16
1749826062,122.38
1749826063,126.6
1749826065,121.85
1749826066,123.06
1749826068,123.66
1749826069,104.84
1749826070,103.42
1749826071,78.52
1749826072,52.65
1749826073,61.88
1749826074,78.7
1749826075,87.97
1749826076,98.06
1749826077,105.39
1749826078,111.41
1749826079,113.19
1749826080,117.27
1749826081,110.32
1749826082,117.56
1749826083,113.46
1749826084,116.66
1749826086,111.64
1749826087,112.92
1749826088,110.36
1749826089,108.62
1749826090,115.67
1749826091,122.65
1749826092,125.55
1749826093,127.99
1749826094,122.12
1749826095,124.93
1749826096,128.75
1749826097,116.36
1749826098,111.57
1749826099,94.23
1749826100,70.2
1749826101,30.45
